股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
000403;ST生化;振兴生化股份有限公司;Zhenxing Biopharmaceutical and Chemical Co., Ltd.;1993-12-28;山西;宜春工程、三九生化、*ST生化、S*ST生化、*ST生化;陈耿;刘书锦、余俊仙、张晟杰;致同会计师事务所(特殊普通合伙);闫治仲;;ST板块;制药
000404;华意压缩;华意压缩机股份股份有限公司;Huayi Compressor Co., Ltd.;1994-06-16;江西;华意压缩、S华意;杨秀彪;牟文、唐英凯、张蕊;信永中和会计师事务所(特殊普通合伙);巢亦文;福建君立律师事务所;地热能、融资融券;工业机械
000407;胜利股份;山东胜利股份有限公司;Shandong Shengli Co. Ltd.;1994-05-11;山东;胜利股份、G胜利;王鹏;崔少华、田贯三、梁阜、张树明;大信会计师事务所(特殊普通合伙);宋文臻;明允律师事务所;--;燃气供应
000408;藏格控股;藏格控股股份有限公司;Zangge Holding Company Limited;1995-12-26;河北;河北华玉、玉源控股、*ST玉源、G*ST玉源、*ST玉源、ST玉源、*ST玉源、*ST金谷、ST金谷源、金谷源、*ST金源、金谷源;肖永明;王卫国、亓昭英、姚焕然;瑞华会计师事务所（特殊普通合伙）;曹东林;北京市信利律师事务所;涉矿概念、ST板块、重组概念、京津冀;通用化工品
000410;沈阳机床;沈阳机床股份有限公司;Shenyang Machine Tool Co. Ltd.;1993-05-20;辽宁;沈阳机床、G沈机、沈阳机床、*ST沈机;赵彪;钟田丽、李卓、张黎明;大华会计师事务所有限公司;林晓琳;上海市第四律师事务所;--;工业机械
000411;英特集团;浙江英特集团股份有限公司;Zhejiang Int'l Group Co., Ltd.;1993-04-01;浙江;凯地丝绸、ST凯地、PT凯地、ST凯地、ST英特、英特集团、G英特;姜巨舫;李蓥、武滨、项先权;天职国际会计师事务所(特殊普通合伙);裘莉;国浩律师集团(上海)事务所;--;药品零售
000413;东旭光电;东旭光电科技股份有限公司;Dongxu Optoelectronic Technology Co., Ltd.;1992-12-26;河北;宝石A、ST宝石A、宝石A、G宝石、宝石A、*ST宝石A、宝石A;武吉伟;韩志国、张双才、鲁桂华;北京中兴财光华会计师事务所有限责任公司;王青飞;;含B股、锂电池、融资融券、石墨烯;电子电气组件与设备
000415;渤海金控;渤海金控投资股份有限公司;Bohai Capital Holding Co., Ltd.;1993-06-30;新疆;汇通水利、G汇通、汇通水利、汇通集团、*ST汇通、ST汇通、渤海租赁;卓逸群;赵慧军、庄起善、马春华;安永华明会计师事务所;王佳魏;;金融改革、融资融券、新三板;辅助服务
000416;民生控股;民生控股股份有限公司;Minsheng Holdings Co.Ltd;1993-06-12;山东;青岛国货、ST国货、ST青健、健特生物、G健特、健特生物、华馨实业、民生投资;余政;钱爱民、鲁桂华、李慧中;山东和信会计师事务所(特殊普通合伙);王成福;山东琴岛律师事务所;东亚自贸、黄河三角;普通金融服务
000417;合肥百货;合肥百货大楼集团股份有限公司;Hefei Department Store Group Co., Ltd.;1993-10-19;安徽;合肥百货、G合百大;刘浩;陈结淼、刘京建、李姝、方福前;大华会计师事务所(特殊普通合伙);杨志春;天合律师事务所;融资融券、皖江区域;百货零售
