"start_stock_code"	"start_chi_sht"	"start_com_name"	"start_com_type"	"end_stock_code"	"end_chi_sht"	"end_com_name"	"end_com_type"	"output_funt"	"report_dt"
"000088.SZ"	"盐田港"	"深圳市盐田港股份有限公司"	"深A"	""	""	"星辉储运(深圳)有限公司"	"非上市"	"1645.21"	"2017-12-31"
"000088.SZ"	"盐田港"	"深圳市盐田港股份有限公司"	"深A"	""	""	"湖北华电西塞山发电有限公司"	"非上市"	"4442.82"	"2017-12-31"
"000089.SZ"	"深圳机场"	"深圳机场股份有限公司"	"深A"	""	""	"深圳机场雅仕维传媒有限公司"	"非上市"	"40749.37"	"2017-12-31"
"000089.SZ"	"深圳机场"	"深圳机场股份有限公司"	"深A"	""	""	"深圳航空有限责任公司"	"非上市"	"49118.75"	"2017-12-31"
"000089.SZ"	"深圳机场"	"深圳机场股份有限公司"	"深A"	"600221.SH"	"海航控股"	"海南航空控股股份有限公司"	"沪A"	"22747.39"	"2017-12-31"
"000089.SZ"	"深圳机场"	"深圳机场股份有限公司"	"深A"	"600029.SH"	"南方航空"	"中国南方航空股份有限公司"	"沪A"	"43952.57"	"2017-12-31"
"000089.SZ"	"深圳机场"	"深圳机场股份有限公司"	"深A"	"600115.SH"	"东方航空"	"中国东方航空股份有限公司"	"沪A"	"14159.46"	"2017-12-31"
"000099.SZ"	"中信海直"	"中信海洋直升机股份有限公司"	"深A"	""	""	"Daewoo International Corporation"	"非上市"	"5716.89"	"2017-12-31"
"000099.SZ"	"中信海直"	"中信海洋直升机股份有限公司"	"深A"	""	""	"中国海洋石油集团有限公司"	"非上市"	"63996.63"	"2017-12-31"
"000151.SZ"	"中成股份"	"中成进出口股份有限公司"	"深A"	""	""	"古巴轻工TEXIMX公司"	"非上市"	"3182.74"	"2012-06-30"
"000151.SZ"	"中成股份"	"中成进出口股份有限公司"	"深A"	""	""	"朝鲜综合设备输出入会社"	"非上市"	"3223.44"	"2012-06-30"
"000151.SZ"	"中成股份"	"中成进出口股份有限公司"	"深A"	""	""	"天津卓盈商贸有限公司"	"非上市"	"4042.59"	"2012-06-30"
"000151.SZ"	"中成股份"	"中成进出口股份有限公司"	"深A"	""	""	"天津彩欣钢铁贸易有限公司"	"非上市"	"5385.25"	"2012-06-30"
"000151.SZ"	"中成股份"	"中成进出口股份有限公司"	"深A"	""	""	"上海申鑫经济发展总公司"	"非上市"	"6806.68"	"2012-06-30"
"000153.SZ"	"丰原药业"	"安徽丰原药业股份有限公司"	"深A"	""	""	"安徽医科大学附属巢湖医院"	"非上市"	"3852.34"	"2017-12-31"
"000153.SZ"	"丰原药业"	"安徽丰原药业股份有限公司"	"深A"	""	""	"华润安徽医药有限公司"	"非上市"	"5517.4"	"2017-12-31"
"000153.SZ"	"丰原药业"	"安徽丰原药业股份有限公司"	"深A"	""	""	"山东新华医药贸易有限公司"	"非上市"	"5589.48"	"2017-12-31"
"000153.SZ"	"丰原药业"	"安徽丰原药业股份有限公司"	"深A"	""	""	"蚌埠医学院第二附属医院"	"非上市"	"7455.26"	"2017-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	""	""	"上海华信国际集团有限公司"	"非上市"	"7202.4"	"2016-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	""	""	"天津泰达能源集团有限公司"	"非上市"	"15898.9"	"2016-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	""	""	"四川长江水运有限责任公司"	"非上市"	"17060.94"	"2016-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	""	""	"中铝天津国际贸易有限公司"	"非上市"	"38492.23"	"2016-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	""	""	"四川翔龄实业有限公司"	"非上市"	"39174.79"	"2016-12-31"
"000155.SZ"	"川化股份"	"川化股份有限公司"	"深A"	"000652.SZ"	"泰达股份"	"天津泰达股份有限公司"	"深A"	"88573.58"	"2017-12-31"
"000156.SZ"	"华数传媒"	"华数传媒控股股份有限公司"	"深A"	""	""	"福建广电网络集团股份有限公司"	"非上市"	"2387.49"	"2013-12-31"
"000156.SZ"	"华数传媒"	"华数传媒控股股份有限公司"	"深A"	""	""	"四川省有线广播电视网络股份有限公司"	"非上市"	"2421.87"	"2013-12-31"
"000156.SZ"	"华数传媒"	"华数传媒控股股份有限公司"	"深A"	""	""	"中国移动通信有限公司"	"非上市"	"3366.95"	"2013-12-31"
"000156.SZ"	"华数传媒"	"华数传媒控股股份有限公司"	"深A"	""	""	"华数网通信息港有限公司"	"非上市"	"8272.48"	"2013-12-31"
"000157.SZ"	"中联重科"	"中联重科股份有限公司"	"深A"	"834243.OC"	""	"北京紫竹慧建设服务股份有限公司"	"三板"	"6563.3"	"2017-12-31"
"000157.SZ"	"中联重科"	"中联重科股份有限公司"	"深A"	"872514.OC"	""	"江苏创美城市服务股份有限公司"	"三板"	"343.16"	"2017-12-31"
"000157.SZ"	"中联重科"	"中联重科股份有限公司"	"深A"	"871951.OC"	""	"重庆左岸环境服务股份有限公司"	"三板"	"337.15"	"2017-12-31"
"000157.SZ"	"中联重科"	"中联重科股份有限公司"	"深A"	"832105.OC"	""	"陕西宇宏新能源科技股份有限公司"	"三板"	"167.12"	"2017-12-31"
"000158.SZ"	"常山北明"	"石家庄常山北明科技股份有限公司"	"深A"	""	""	"中华棉花集团有限公司"	"非上市"	"144233.62"	"2017-12-31"
"000158.SZ"	"常山北明"	"石家庄常山北明科技股份有限公司"	"深A"	""	""	"天津市纺织工业供销有限公司"	"非上市"	"77822.84"	"2017-12-31"
"000158.SZ"	"常山北明"	"石家庄常山北明科技股份有限公司"	"深A"	""	""	"北京中棉通泰经贸有限公司"	"非上市"	"59260.17"	"2017-12-31"
"000158.SZ"	"常山北明"	"石家庄常山北明科技股份有限公司"	"深A"	"831426.OC"	""	"北京拂尘龙科技发展股份有限公司"	"三板"	"54.61"	"2015-12-31"
"000159.SZ"	"国际实业"	"新疆国际实业股份有限公司"	"深A"	""	""	"新疆生产建设兵团第八师天山铝业股份有限公司"	"非上市"	"2046.96"	"2017-12-31"
"000159.SZ"	"国际实业"	"新疆国际实业股份有限公司"	"深A"	""	""	"恒百锐供应链管理股份有限公司"	"非上市"	"3838.88"	"2017-12-31"
"000301.SZ"	"东方市场"	"江苏吴江中国东方丝绸市场股份有限公司"	"深A"	""	""	"吴江康帕斯实业有限公司"	"非上市"	"3161.9"	"2017-12-31"
"000301.SZ"	"东方市场"	"江苏吴江中国东方丝绸市场股份有限公司"	"深A"	""	""	"盛虹集团有限公司"	"非上市"	"4355.7"	"2017-12-31"
"000301.SZ"	"东方市场"	"江苏吴江中国东方丝绸市场股份有限公司"	"深A"	""	""	"吴江港申纺织印染有限公司"	"非上市"	"5440.25"	"2017-12-31"
"000333.SZ"	"美的集团"	"美的集团股份有限公司"	"深A"	"834998.OC"	""	"深圳华强电子商务股份有限公司"	"三板"	"7736.34"	"2017-12-31"
